X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,y
2.368774849713025932e-01,2.300484268824199152e-01,2.186861890379991624e-01,1.988269750625200893e-01,1.823542155836098688e-01,1.838240907013401759e-01,2.018455376033065629e-01,2.228030559270826882e-01,2.351603897719730385e-01,2.412130988076848781e-01,2.061922980240349021e-02,2.109251482651655976e-02,1.935780920456333862e-02,2.047166588935480161e-02,9.365432831923051205e-02,1.068009082797510556e-01,1.233560665488627334e-01,1.475049194815495068e-01,1.816899741643760169e-01,9.344300756832350785e-02,1.068474749926133227e-01,1.238664284366555596e-01,1.482153345042478976e-01,1.824898902801875278e-01,1.567129402960560913e-01,1.075192832896994105e-01,8.986007559621812801e-02,1.065516011153992831e-01,1.549515291939597972e-01,4.002142251099735822e-03,4.543420324966452456e-03,3.994510373763376747e-03,1.000000000000000000e+00
2.923476997143685252e-01,2.887259667246570571e-01,2.780395619362338588e-01,2.560535135556439856e-01,2.358296812832018363e-01,2.353172576090329926e-01,2.549497186686746630e-01,2.762113965796006432e-01,2.866955300273823504e-01,2.894331874601278609e-01,3.831051599883309594e-02,4.267112117589050985e-02,4.494254775080078895e-02,4.111250329463120301e-02,1.091120757506747752e-01,1.268845688988622378e-01,1.500068737814065911e-01,1.826863890063834261e-01,2.249035537445941979e-01,1.066151630511352755e-01,1.238706634918993049e-01,1.464406114837244199e-01,1.791664622841711574e-01,2.219739749444769594e-01,1.918007450610225151e-01,1.433925309187245312e-01,1.287469459506450087e-01,1.408868469679291358e-01,1.832796440447432562e-01,9.537629299722905074e-03,1.174950635603048445e-02,9.639258262908678709e-03,1.000000000000000000e+00
2.777413878174067041e-01,2.732202887466027019e-01,2.611557206118766405e-01,2.380018428960058718e-01,2.169050156981681410e-01,2.058866891361096629e-01,2.273881726250625290e-01,2.516376806040945269e-01,2.646593023207390871e-01,2.721450051543596316e-01,1.798943117862759553e-02,1.825459858089538076e-02,1.854418117493639509e-02,1.763673286036434099e-02,1.046933217346990574e-01,1.186762632350912006e-01,1.360037465056350425e-01,1.622420060333906178e-01,1.975592602792690389e-01,1.044110422338424826e-01,1.184545019795757159e-01,1.358361238031892682e-01,1.615308966855281414e-01,1.964427958634900051e-01,1.648946664550600960e-01,1.254334603691105166e-01,1.156349188246539039e-01,1.272178175519541043e-01,1.651713031499580098e-01,2.625011335623957023e-03,2.639977597169522114e-03,2.500201959849208434e-03,1.000000000000000000e+00
2.167148207046812325e-01,2.061947247058599220e-01,1.946186843294932522e-01,1.773784776247740724e-01,1.643673322916910928e-01,1.621841918907723223e-01,1.797748448253687903e-01,2.012970344200105954e-01,2.152302351521673540e-01,2.260838039812658740e-01,1.353860977247287566e-02,1.516061124763929541e-02,1.560739590874942948e-02,1.399520129120284881e-02,8.806558343149445411e-02,1.007426786538333785e-01,1.169058153279989576e-01,1.413177379601787687e-01,1.755014220413305404e-01,8.825229567771508687e-02,1.004944911156121501e-01,1.161837096237382377e-01,1.395398456848973290e-01,1.727117625860037087e-01,1.560296832463032579e-01,1.092963613636081660e-01,9.653606061740828415e-02,1.100713820848428781e-01,1.533235589627497397e-01,7.247557022876533958e-03,9.200060194932285079e-03,6.841977672274186795e-03,1.000000000000000000e+00
2.234303059450881423e-01,2.136966687854750802e-01,2.006243183216518122e-01,1.810439499433267596e-01,1.655573285293255592e-01,1.714659195570776840e-01,1.885268185534195173e-01,2.085685553398118341e-01,2.208378929875770558e-01,2.293355528264337806e-01,1.148406003195619370e-02,1.275883477439453476e-02,1.540415050344662654e-02,1.333965589513134986e-02,9.323297255463489086e-02,1.073825710638379588e-01,1.256977129086412626e-01,1.510136557751566022e-01,1.847898745468030957e-01,9.213777295459577021e-02,1.048825290512215291e-01,1.218128392405577742e-01,1.457216023217593193e-01,1.780124105522045419e-01,1.530408636322077021e-01,1.139174000882429011e-01,1.007845014359330521e-01,1.111237809490448203e-01,1.519182681496068221e-01,3.688244251302835990e-03,4.123146654298264283e-03,3.841406509318941089e-03,1.000000000000000000e+00
1.820020764844948180e-01,1.725291720380557337e-01,1.605025110538011723e-01,1.427224448787936806e-01,1.290773922307645871e-01,1.284498376057110203e-01,1.420186975674134766e-01,1.591231005306598389e-01,1.713776477511259611e-01,1.814739197471056109e-01,6.525890854874621082e-03,8.445485083751834432e-03,1.215814708164676856e-02,1.102318716304638048e-02,7.359384710846916811e-02,8.400362460794308372e-02,9.730276695148608324e-02,1.168952767776594570e-01,1.437494943758359234e-01,7.479330886709587012e-02,8.588688967544236275e-02,9.988921025385093244e-02,1.199145188157789005e-01,1.469164488285080172e-01,1.263555457739589938e-01,9.112195311148967025e-02,8.157021956151404296e-02,9.180581192355787012e-02,1.268300492992552597e-01,1.200116595067242864e-03,1.407308613384614061e-03,1.063266422296631685e-03,1.000000000000000000e+00
2.432586075364752132e-01,2.357540092473243143e-01,2.244624802420522591e-01,2.047576982676413970e-01,1.881661774678803634e-01,1.821346193593725016e-01,1.979665433284994169e-01,2.176703248310269678e-01,2.298514549638371318e-01,2.394154948281777273e-01,2.592401453861019334e-02,2.843452627645454839e-02,2.796216914141470833e-02,2.525248243042879301e-02,9.253777333027093932e-02,1.063901406726472931e-01,1.252175284592622895e-01,1.510402604085007428e-01,1.839693435362888263e-01,9.212199161201722886e-02,1.056389923571409289e-01,1.241996377790558492e-01,1.496633673816636367e-01,1.816090201761709211e-01,1.518700969138165879e-01,1.112893099531255398e-01,9.964509411482599943e-02,1.096270649799331448e-01,1.466052311129122654e-01,3.568988202762092316e-04,5.282016793333483163e-04,2.725776679000902988e-04,1.000000000000000000e+00
2.021320482272346009e-01,1.925621737888137952e-01,1.790312784657017153e-01,1.584283023013501601e-01,1.410069352721627367e-01,1.404424475299070052e-01,1.563190887182886735e-01,1.754444796694487607e-01,1.885114206652335755e-01,1.975143902703710708e-01,1.416928943202555233e-02,1.553236777139945998e-02,1.843741581191822576e-02,1.833076519281942596e-02,8.165644015428959179e-02,9.312994251406901680e-02,1.077856259077978190e-01,1.276251289231583319e-01,1.533455556820116361e-01,8.222661220663177173e-02,9.321273222586672069e-02,1.076292093692282764e-01,1.273955810750838358e-01,1.539090077239191334e-01,1.303458211369584174e-01,9.431961760377613468e-02,8.372802583226009177e-02,9.273194573656218243e-02,1.309511137884934173e-01,3.488882332020592776e-04,3.442021790907298174e-04,3.234122075962550459e-04,1.000000000000000000e+00
2.190272834468893759e-01,2.105499132191813727e-01,1.980823037535243136e-01,1.776550089166930302e-01,1.608102419599937161e-01,1.599721421200577531e-01,1.746061246340934181e-01,1.934364394181038449e-01,2.062673846260220656e-01,2.158609989595052236e-01,1.721559549864102798e-02,1.947550470929882913e-02,1.965455107461941756e-02,1.715543389171006114e-02,9.041781789709273098e-02,1.038354577231046239e-01,1.217451190459123145e-01,1.465542890224246497e-01,1.771372363619900803e-01,8.948841035616504624e-02,1.025120115728566511e-01,1.201998151046702462e-01,1.448481603088870306e-01,1.749020941110558669e-01,1.459160716681909276e-01,1.053544821243998370e-01,9.310069426093953160e-02,1.050040214942679628e-01,1.418150656366270745e-01,1.988909457888628999e-03,2.287708380782420194e-03,1.964517028720783390e-03,1.000000000000000000e+00
2.403658612981079967e-01,2.320955203367257857e-01,2.183327995064772153e-01,1.946174785090309389e-01,1.735809086886969665e-01,1.714438900215579376e-01,1.895236835968445444e-01,2.113673948855083751e-01,2.254261194688816083e-01,2.352475375853826101e-01,2.316583612853928900e-02,2.468647359367426297e-02,2.373125288702081226e-02,2.214134414406156506e-02,9.520506095461911400e-02,1.084318300980671029e-01,1.254735551039930785e-01,1.501701621616243487e-01,1.827584805812376978e-01,9.582023383005162931e-02,1.098780515069828906e-01,1.279939248472836411e-01,1.536988553244453271e-01,1.869912390305659977e-01,1.507086965410233126e-01,1.099523827366925138e-01,1.001435442588557850e-01,1.113844297044019188e-01,1.504894256810649922e-01,4.600176405127449041e-03,6.620611431029904681e-03,5.013486551261552189e-03,1.000000000000000000e+00
