aX,aY,aZ,gX,gY,gZ
0.168,-1.857,1.207,-22.888,45.593,10.376
0.149,-2.070,1.186,-21.179,34.729,23.376
0.109,-2.175,1.045,-14.282,16.113,35.339
0.102,-2.210,0.834,-3.967,-3.479,47.546
0.125,-2.131,0.595,5.676,-19.714,55.603
0.179,-1.894,0.330,14.404,-28.259,54.688
0.167,-1.417,0.156,20.081,-18.616,39.246
0.017,-0.565,0.113,11.963,28.870,11.536
-0.301,0.161,0.240,-18.799,88.928,-13.367
-0.573,0.948,0.591,-63.843,102.661,-16.113
-0.588,1.368,1.107,-107.666,55.603,9.766
-0.427,1.556,1.580,-130.371,-13.672,52.185
-0.154,1.543,1.823,-120.361,-68.909,83.496
0.056,1.365,1.743,-74.890,-89.111,88.867
0.170,1.198,1.429,-23.560,-92.041,72.693
0.267,1.079,1.066,12.268,-91.919,54.993
0.379,1.028,0.814,23.376,-80.261,34.363
0.351,0.895,0.661,18.616,-53.406,9.033
0.268,0.735,0.628,5.920,-25.085,-9.644
0.152,0.594,0.688,-6.287,-11.841,-18.311
0.040,0.494,0.694,-9.155,-11.963,-16.846
0.010,0.460,0.680,-6.775,-23.132,-9.094
0.079,0.443,0.653,-1.709,-37.109,-0.916
0.203,0.364,0.653,2.869,-43.396,3.418
0.301,0.337,0.653,3.845,-34.729,3.723
0.425,0.240,0.694,1.831,-17.151,-2.441
0.370,0.217,0.744,-4.150,-6.165,-11.292
0.288,0.199,0.845,-11.719,-1.709,-6.348
0.191,0.181,0.955,-19.348,-5.249,-12.085
0.118,0.167,1.050,-21.606,-5.981,-15.015
0.063,0.125,1.101,-18.372,-10.986,-18.860
0.015,0.053,1.101,-10.986,-10.132,-20.935
-0.058,-0.020,1.072,-4.272,-8.240,-21.484
-0.091,-0.044,1.053,-0.610,-5.188,-15.686
-0.082,-0.080,1.054,-0.244,-1.526,-8.362
-0.073,-0.118,1.070,-0.183,1.343,-1.831
-0.034,-0.118,1.087,-1.709,4.211,0.854
-0.028,-0.151,1.100,-1.160,5.798,0.793
-0.051,-0.146,1.099,-0.916,5.615,-1.343
-0.067,-0.160,1.096,-0.610,5.920,-3.906
-0.064,-0.152,1.087,0.122,6.714,-2.319
-0.050,-0.124,1.089,-0.427,5.005,0.977
-0.040,-0.112,1.084,0.427,2.075,2.747
-0.009,-0.113,1.063,1.770,1.221,3.784
0.021,-0.114,1.049,1.526,-0.366,4.944
0.033,-0.118,1.046,1.404,-1.953,5.432
0.036,-0.121,1.046,3.052,-1.465,3.845
0.054,-0.103,1.030,6.409,0.610,2.380
0.087,-0.097,0.995,9.949,1.831,2.441
0.091,-0.107,0.954,11.108,1.526,2.502
0.086,-0.095,0.940,8.118,1.343,1.709
0.071,-0.113,0.952,5.188,3.784,1.282
0.060,-0.110,0.963,4.028,8.545,0.671
0.072,-0.106,0.980,3.479,10.376,0.061
0.075,-0.093,0.973,3.479,8.057,0.305
0.083,-0.079,0.953,3.296,5.737,0.732
0.095,-0.084,0.953,1.221,4.578,1.343
0.095,-0.094,0.961,-0.366,4.150,1.404
0.077,-0.094,0.974,-0.671,5.676,0.732
0.055,-0.095,0.972,0.061,8.789,-0.061
0.046,-0.075,0.959,0.793,8.423,0.427
0.043,-0.078,0.953,1.282,5.432,0.732
0.042,-0.083,0.942,1.526,2.747,0.854
0.018,-0.092,0.924,0.977,1.404,0.610
-0.005,-0.080,0.922,-0.244,1.892,0.549
-0.008,-0.070,0.934,-1.709,2.625,0.671
0.010,-0.059,0.958,-1.831,2.869,2.014
0.048,-0.053,0.958,-0.793,2.319,3.845
0.088,-0.059,0.953,0.122,0.000,4.700
0.109,-0.049,0.943,0.244,-2.625,4.272
0.101,-0.062,0.937,0.732,-3.113,2.686
0.080,-0.068,0.926,0.854,-0.916,0.916
0.047,-0.063,0.922,0.244,-0.122,-0.061
0.042,-0.065,0.925,-0.488,-0.122,-0.488
0.051,-0.081,0.930,-0.854,-0.366,0.366
0.062,-0.086,0.932,-1.404,-1.038,0.916
0.077,-0.073,0.951,-2.930,-3.113,1.770
0.080,-0.090,0.981,-4.456,-5.798,2.136
0.078,-0.078,0.987,-5.188,-6.653,0.977
0.056,-0.074,1.000,-4.272,-6.042,-0.854
0.042,-0.055,0.993,-2.258,-5.310,-1.709
0.024,-0.053,0.979,-0.610,-6.348,-1.709
0.034,-0.053,0.964,0.061,-7.507,-0.427
0.049,-0.070,0.950,0.244,-7.324,0.549
0.057,-0.080,0.945,-0.305,-5.127,0.610
0.046,-0.074,0.949,-1.221,-2.686,-0.305
0.040,-0.075,0.962,-1.709,-1.404,-1.160
0.056,-0.070,0.970,-1.526,-0.977,-0.793
0.076,-0.069,0.972,-0.977,-1.221,-0.061
0.078,-0.066,0.966,-1.099,-1.404,0.366
0.081,-0.066,0.976,-2.014,-1.404,0.305
0.077,-0.068,0.998,-2.380,-1.526,0.244
0.072,-0.085,1.010,-1.465,-2.014,-0.061
0.070,-0.080,1.006,-0.610,-1.770,-0.488
0.067,-0.075,1.004,0.000,-1.343,-0.916
0.060,-0.075,1.004,-0.244,-0.732,-1.221
0.036,-0.074,1.001,-0.488,-0.549,-1.221
0.027,-0.072,1.004,-0.732,-1.343,-0.793
0.027,-0.084,1.005,-0.427,-1.892,-0.122
0.032,-0.086,1.001,0.732,-1.038,0.122
0.029,-0.080,0.999,1.465,0.000,-0.366
0.026,-0.073,0.987,1.770,0.183,-0.977
0.024,-0.068,0.975,1.587,-0.244,-0.671
0.028,-0.077,0.964,1.160,-1.343,-0.122
0.019,-0.075,0.949,0.732,-2.319,0.244
0.018,-0.073,0.944,0.366,-1.648,0.488
0.021,-0.078,0.948,-0.427,-0.427,0.671
0.023,-0.065,0.955,-1.038,0.977,0.854
0.035,-0.056,0.969,-1.587,1.892,1.221
0.032,-0.048,0.972,-0.610,1.770,1.343
0.047,-0.046,0.978,0.244,1.404,0.488
0.067,-0.053,0.972,0.427,0.732,0.610
0.080,-0.046,0.966,0.244,-0.732,0.732
0.074,-0.050,0.974,-0.305,-1.709,0.488
0.054,-0.048,0.978,-0.427,-2.686,0.732
0.040,-0.048,0.983,-0.427,-3.052,0.854
0.031,-0.062,0.982,-0.061,-2.380,0.549
0.026,-0.062,0.970,0.427,-1.404,0.977
0.029,-0.066,0.964,0.916,-0.488,0.366

-0.167,-2.283,1.022,-4.700,11.902,14.038
-0.461,-2.657,0.839,-2.991,4.395,23.315
-0.730,-2.816,0.495,-0.549,-22.339,44.373
-0.786,-2.770,0.143,-1.526,-55.420,73.181
-0.483,-2.499,-0.142,-6.653,-66.589,99.792
-0.160,-2.178,-0.249,-22.400,-47.363,101.929
0.081,-1.654,-0.115,-43.823,-20.325,82.031
0.050,-0.857,0.062,-60.791,2.380,50.293
-0.248,0.307,0.173,-78.491,24.902,21.240
-0.476,1.212,0.542,-107.666,29.358,18.921
-0.276,1.736,1.111,-138.611,13.611,48.401
0.120,1.834,1.600,-148.071,-8.301,83.008
0.384,1.910,1.784,-137.146,-23.010,92.224
0.463,2.094,1.829,-119.934,-31.372,74.524
0.415,2.085,1.797,-102.173,-34.851,49.316
0.383,1.881,1.857,-84.595,-36.865,38.147
0.341,1.637,1.885,-65.002,-41.992,26.428
0.337,1.397,1.896,-42.175,-37.781,15.320
0.318,1.176,1.853,-18.372,-26.855,4.028
0.239,0.889,1.655,12.817,-17.334,-3.052
0.178,0.727,1.343,44.739,-16.968,-4.761
0.201,0.511,0.931,74.463,-24.414,0.244
0.183,0.341,0.458,89.600,-37.537,8.118
0.218,0.202,0.109,87.036,-46.204,14.282
0.218,0.129,-0.076,66.711,-36.316,7.019
0.145,0.040,-0.075,38.269,-9.827,6.531
0.139,0.077,0.076,12.512,15.503,-1.831
0.139,0.088,0.320,-7.812,31.067,-2.319
0.176,0.120,0.575,-22.400,30.212,-1.892
0.176,0.144,0.785,-28.748,13.489,-4.150
0.172,0.131,0.950,-31.555,6.042,-5.615
0.114,0.100,1.034,-26.611,-2.930,-5.981
0.011,0.103,1.065,-18.494,-6.470,-8.301
-0.073,0.085,1.037,-10.071,-1.465,-11.108
-0.111,0.045,0.996,-5.310,3.113,-8.972
-0.088,-0.010,0.962,-3.540,2.319,-5.554
-0.057,-0.070,0.953,-2.808,-1.343,-3.967
-0.041,-0.110,0.951,-2.136,-5.249,-3.662
-0.057,-0.139,0.957,-3.296,-6.165,-2.319
-0.036,-0.123,0.984,-4.761,-7.568,-3.052
-0.074,-0.068,1.017,-5.676,-6.348,-4.883
-0.100,-0.040,1.062,-5.920,0.916,-2.563
-0.053,-0.044,1.099,-3.662,2.563,-0.671
-0.013,-0.060,1.117,-2.380,3.845,0.427
0.008,-0.104,1.097,0.305,2.869,4.089
0.021,-0.123,1.027,3.845,1.953,2.258
0.004,-0.111,0.973,5.493,-1.709,0.671
-0.019,-0.092,0.927,5.127,-2.747,0.122
-0.034,-0.074,0.929,1.648,-0.854,-0.183
-0.026,-0.054,0.972,-1.465,-0.549,0.793
-0.009,-0.067,1.006,-2.136,-0.061,1.648
0.013,-0.051,1.022,-1.709,-0.183,2.380
0.036,-0.045,1.024,-0.916,-1.099,2.075
0.055,-0.030,1.035,-0.671,-3.845,2.380
0.063,-0.023,1.053,-0.427,-7.080,2.869
0.035,-0.014,1.043,0.793,-7.446,1.892
-0.004,0.002,1.026,2.197,-5.127,0.549
-0.019,-0.012,1.025,2.869,-2.747,0.427
-0.014,-0.044,1.006,4.089,-0.854,1.038
0.009,-0.073,0.961,6.226,1.099,1.343
0.021,-0.080,0.900,8.423,0.732,1.709
0.020,-0.055,0.848,8.301,-1.099,1.465
0.009,-0.043,0.845,4.700,-2.319,1.953
0.004,-0.044,0.872,-0.122,-0.916,2.136
-0.001,-0.034,0.904,-3.479,0.977,2.625
0.010,-0.033,0.939,-4.578,0.244,3.662
0.040,-0.034,0.959,-4.150,-1.343,4.822
0.070,-0.034,0.969,-2.808,-2.869,4.822
0.068,-0.014,0.974,-1.953,-4.272,3.113
0.047,-0.009,0.995,-1.953,-6.165,1.465
0.031,-0.028,1.001,-1.282,-6.287,1.587
0.002,-0.032,1.000,-0.549,-4.456,0.793
-0.021,-0.033,0.988,0.793,-2.441,0.183
-0.021,-0.044,0.978,1.587,0.122,0.488
0.001,-0.047,0.976,2.014,0.244,1.160
0.020,-0.047,0.971,2.319,-1.282,1.465
0.037,-0.050,0.969,1.587,-2.563,1.404
0.040,-0.047,0.974,0.977,-3.845,1.160
0.032,-0.062,0.979,0.977,-5.676,0.671
0.020,-0.058,0.971,0.977,-5.981,0.183
0.005,-0.048,0.964,0.977,-5.371,-0.122
-0.010,-0.043,0.974,0.305,-5.127,0.061
-0.000,-0.037,0.984,-0.549,-3.784,0.366
0.004,-0.043,0.996,-0.488,-2.258,1.404
0.015,-0.047,1.001,-0.244,-1.099,1.282
-0.007,-0.053,1.000,0.122,-0.610,1.465
0.020,-0.050,0.990,0.427,-0.916,1.587
0.028,-0.053,0.977,0.854,-2.319,1.343
0.036,-0.042,0.970,0.916,-2.686,0.000
0.027,-0.025,0.973,0.732,-2.014,-0.366
0.038,-0.024,0.983,0.488,-2.502,-1.404
0.018,-0.030,0.990,0.671,-2.747,-1.282
-0.005,-0.040,0.985,1.099,-0.793,-1.465
-0.028,-0.048,0.964,1.770,-0.366,-1.404
-0.024,-0.056,0.948,2.014,-0.854,-0.610
-0.008,-0.062,0.945,1.526,-2.686,0.183
0.004,-0.045,0.933,1.465,-4.395,0.427
0.020,-0.026,0.930,0.671,-4.272,0.061
0.019,-0.019,0.944,-0.793,-3.296,0.183
0.018,-0.013,0.970,-2.869,-1.160,-0.122
0.013,-0.017,1.001,-4.028,1.465,-0.244
0.023,-0.017,1.021,-2.747,4.395,-0.061
0.032,-0.011,1.026,-0.916,4.395,-0.977
0.048,-0.014,1.021,0.366,1.099,-1.526
0.047,-0.021,1.004,2.014,-2.136,-0.977
0.028,-0.034,0.989,2.808,-3.357,-1.404
-0.013,-0.030,0.978,2.991,-2.502,-2.625
-0.029,-0.033,0.973,1.953,1.160,-2.380
-0.031,-0.040,0.985,0.977,4.028,-1.038
-0.020,-0.040,1.000,0.549,3.723,-0.122
-0.010,-0.049,1.001,0.916,1.831,0.549
0.004,-0.044,0.995,1.587,0.244,0.732
0.012,-0.047,0.990,2.258,-0.610,0.610
0.021,-0.046,0.994,2.258,-0.427,0.305
0.018,-0.054,0.998,2.441,0.000,-0.366
-0.002,-0.043,0.988,2.930,-0.183,-1.160
-0.026,-0.036,0.980,2.869,-0.916,-1.648
-0.032,-0.046,0.974,2.441,-0.671,-0.977
-0.024,-0.037,0.978,1.892,-0.793,0.122

-0.392,-2.156,0.646,0.366,13.916,22.278
-0.536,-2.527,0.385,0.854,-0.671,41.260
-0.587,-2.854,0.040,4.333,-28.259,67.810
-0.421,-2.947,-0.299,0.732,-56.641,97.717
-0.522,-2.615,-0.682,-10.864,-79.041,113.831
-0.423,-2.206,-0.895,-32.471,-83.679,121.460
-0.104,-1.491,-0.809,-59.326,-64.575,123.108
0.419,-0.434,-0.292,-105.347,-13.611,95.337
0.606,0.462,0.590,-159.790,64.514,34.607
0.428,1.659,1.509,-202.271,119.568,-21.118
0.009,2.538,2.304,-213.074,129.700,-46.631
-0.026,2.737,2.798,-175.293,93.384,-16.174
0.208,2.405,2.781,-111.633,5.005,53.040
0.426,2.220,2.357,-49.988,-92.468,96.130
0.418,1.856,1.784,-6.104,-134.949,90.332
0.289,1.640,1.340,6.958,-130.005,64.514
0.227,1.474,1.304,-8.423,-95.703,40.161
0.238,1.155,1.477,-18.005,-32.532,14.954
0.320,0.963,1.553,-7.751,23.376,-3.052
0.359,0.716,1.390,18.982,43.579,-12.451
0.304,0.556,1.029,48.889,30.884,-18.188
0.270,0.406,0.620,64.575,4.211,-18.250
0.091,0.312,0.254,62.500,-25.574,-9.338
0.072,0.206,0.100,45.837,-56.030,-1.953
0.099,0.071,0.065,26.855,-56.335,2.197
0.116,0.043,0.142,6.165,-31.677,-7.385
0.095,0.079,0.287,-10.742,-7.385,-17.700
0.087,0.102,0.448,-23.376,4.822,-18.250
0.069,0.136,0.636,-31.555,5.127,-15.503
0.018,0.115,0.809,-35.645,1.526,-13.367
-0.053,0.162,0.969,-36.499,-0.671,-10.925
-0.121,0.182,1.090,-33.508,-4.211,-10.681
-0.151,0.151,1.148,-25.452,-8.484,-7.568
-0.120,0.099,1.140,-16.113,-11.230,-4.395
-0.125,0.059,1.092,-7.019,-11.230,-1.892
-0.057,0.008,1.040,-2.197,-7.446,-0.183
-0.074,0.026,1.001,-1.526,-5.371,-5.615
-0.066,-0.011,0.969,-1.465,1.953,-2.563
-0.078,-0.000,0.953,-2.380,5.188,-0.427
-0.098,0.024,0.982,-3.235,5.066,0.183
-0.104,0.012,1.016,-3.723,7.874,0.305
-0.072,0.004,1.048,-3.784,6.775,1.587
-0.053,-0.005,1.074,-2.686,3.113,1.282
-0.033,0.034,1.078,-0.305,-1.343,1.953
0.005,0.036,1.051,2.380,-6.165,3.479
0.043,0.024,1.026,5.493,-9.216,4.883
0.055,0.000,1.028,6.042,-6.287,3.052
-0.003,-0.014,1.021,6.165,0.671,0.000
-0.050,-0.016,1.013,5.188,6.836,-1.953
-0.054,-0.001,1.022,3.723,5.005,-0.977
-0.038,0.003,1.014,3.662,-1.282,2.136
0.004,0.008,0.996,4.028,-6.165,5.005
0.024,-0.007,0.985,3.296,-8.972,4.822
0.030,-0.018,0.979,2.258,-7.141,3.479
0.034,-0.026,1.000,1.038,-2.686,1.404
0.031,-0.026,1.023,0.305,0.671,-0.366
0.039,0.005,1.046,0.427,1.404,-1.221
0.050,0.025,1.071,1.648,0.854,-1.953
0.035,0.022,1.064,4.639,0.732,-2.441
0.011,0.015,1.039,6.470,1.343,-2.258
-0.018,-0.005,1.011,6.653,0.061,-0.854
-0.023,-0.027,0.983,6.836,-1.282,0.366
-0.005,-0.040,0.945,7.568,-1.343,0.916
-0.001,-0.027,0.906,6.958,-2.136,1.892
-0.003,-0.029,0.894,4.333,-3.845,2.869
0.005,-0.021,0.912,0.916,-4.089,3.784
0.017,-0.017,0.951,-1.160,-1.953,3.479
0.008,-0.007,0.983,-2.197,-0.488,2.258
-0.005,0.013,0.995,-1.404,-1.160,1.282
-0.008,0.048,0.993,-0.671,-2.075,0.854
-0.014,0.066,0.990,-0.183,-2.014,0.732
-0.004,0.064,1.007,0.122,-0.549,1.221
0.028,0.031,1.031,1.160,0.061,2.625
0.040,0.004,1.021,3.601,-1.831,3.235
0.015,-0.013,0.992,6.042,-4.517,2.197
-0.018,-0.012,0.951,7.629,-5.432,0.793
-0.061,0.001,0.923,7.263,-4.150,-0.061
-0.068,0.014,0.924,5.432,-1.526,-0.244
-0.043,0.003,0.939,4.272,0.916,0.916
-0.007,-0.004,0.938,3.723,-0.183,2.930
0.022,-0.015,0.927,3.113,-3.845,5.066
0.046,-0.017,0.924,1.648,-8.362,5.798
0.044,-0.013,0.939,0.000,-9.766,4.395
-0.022,-0.002,0.962,-0.793,-7.446,1.770
-0.006,-0.013,0.977,-0.854,-2.991,0.122
-0.024,0.004,1.000,-0.671,-1.526,-1.038
-0.025,0.001,0.999,0.916,-1.831,-0.183
0.003,0.003,0.992,2.747,-0.305,-0.305
0.001,0.000,0.974,3.723,-2.014,-0.244
0.028,-0.016,0.957,3.967,-0.916,1.343
0.027,-0.004,0.933,2.991,-3.967,0.183
-0.001,-0.004,0.919,1.770,-6.042,0.488
-0.024,-0.001,0.913,0.549,-3.052,0.549
-0.034,0.004,0.925,-0.488,-1.404,0.366
-0.012,-0.000,0.943,-1.099,0.305,1.465
0.004,-0.005,0.947,-1.160,-0.061,2.197
0.017,-0.000,0.951,-1.526,-2.563,2.502
0.025,0.006,0.959,-1.587,-4.028,2.808
0.023,0.021,0.968,-1.526,-3.967,1.831
0.026,0.018,0.993,-1.587,-2.991,0.610
0.017,0.024,1.006,-1.709,-1.038,-0.183
0.011,0.027,1.025,-1.404,0.610,-1.099
-0.012,0.045,1.025,-0.732,1.343,-1.526
-0.029,0.038,1.024,-0.061,1.587,-0.427
-0.027,0.031,1.021,0.793,0.183,0.427
-0.001,0.016,1.012,2.075,0.244,0.854
0.000,-0.001,0.992,3.784,0.854,1.099
-0.002,-0.005,0.968,4.395,1.221,0.732
-0.013,-0.009,0.950,4.028,1.343,0.305
